id;name;description;price;stock_count;image_url
1;Steel;Assistant;57374;81236;support navigate
2;Chilean reboot Dynamic;Track actuating deposit;44573;6255;Metal
3;models partnerships Infrastructure;transmitting New Bedfordshire;60561;70316;Gloves Drive
4;Small digital Oklahoma;orange Practical;80588;95487;Vermont auxiliary
5;COM Implementation Awesome;homogeneous Crossroad;86573;17814;Bike Shoes Center
6;tangible;Cheese Renminbi;33734;99001;South Forward open-source
7;Fantastic;Buckinghamshire;8835;44109;User-friendly Data navigate
8;Harbors Automotive;Checking system-worthy;9545;6953;Ergonomic relationships back-end
9;solution Zimbabwe Games;Account transmit Incredible;88593;84724;Martinique Executive Down-sized
10;transitional;bypassing Chief interactive;69233;80985;multi-byte Frozen
